expansion_factor,k,data_size,seed,num_latents,fvu,dead_feature_pct,mean_sparsity,clap_delta,lpaps,interpretability_score,train_time_s
8,32,1000,456,512,0.28268691897392273,0.0078125,244.26998901367188,-1.0,-1.0,-1.0,0.16370301973074675
8,32,5000,42,512,0.26808377814292905,0.0,243.15799560546876,-1.0,-1.0,-1.0,0.13590885698795319
8,32,5000,123,512,0.26624319005012514,0.0,242.79399206542968,-1.0,-1.0,-1.0,0.18108625430613756
8,32,5000,456,512,0.26883668327331545,0.0,242.3659921875,-1.0,-1.0,-1.0,0.2300560874864459
8,64,100,42,512,0.7547721862792969,0.275390625,251.1999969482422,-1.0,-1.0,-1.0,0.33612462505698204
8,64,100,123,512,0.5866166353225708,0.259765625,243.6999969482422,-1.0,-1.0,-1.0,0.1473720222711563
8,64,100,456,512,0.731907069683075,0.267578125,251.10000610351562,-1.0,-1.0,-1.0,0.12223080825060606
8,64,500,42,512,0.3108252286911011,0.0,235.01998901367188,-1.0,-1.0,-1.0,0.2662859847769141
8,64,500,123,512,0.30680030584335327,0.001953125,240.1599884033203,-1.0,-1.0,-1.0,0.20286452677100897
8,64,500,456,512,0.31663069128990173,0.0078125,233.6599884033203,-1.0,-1.0,-1.0,0.26559331826865673
8,64,1000,42,512,0.2870575785636902,0.0,237.59999084472656,-1.0,-1.0,-1.0,0.257646594196558
8,64,1000,123,512,0.29093995690345764,0.0,237.79998779296875,-1.0,-1.0,-1.0,0.3108495930209756
8,64,1000,456,512,0.28514906764030457,0.0,238.0699920654297,-1.0,-1.0,-1.0,0.23128284979611635
8,64,5000,42,512,0.26735205936431883,0.0,238.327994140625,-1.0,-1.0,-1.0,0.19370798859745264
8,64,5000,123,512,0.2610464341640472,0.0,238.23599279785157,-1.0,-1.0,-1.0,0.19803101290017366
8,64,5000,456,512,0.27047506952285766,0.0,237.985990234375,-1.0,-1.0,-1.0,0.1407950883731246
8,128,100,42,512,1.1529443264007568,0.06640625,253.8000030517578,-1.0,-1.0,-1.0,0.3110260497778654
8,128,100,123,512,0.8497878909111023,0.052734375,237.10000610351562,-1.0,-1.0,-1.0,0.2018686244264245
8,128,100,456,512,1.123123049736023,0.076171875,249.10000610351562,-1.0,-1.0,-1.0,0.205278349108994
8,128,500,42,512,0.37536099553108215,0.0,232.89999389648438,-1.0,-1.0,-1.0,0.4360427325591445
8,128,500,123,512,0.37484776973724365,0.0,238.0,-1.0,-1.0,-1.0,0.16746607050299644
8,128,500,456,512,0.3829326331615448,0.0,231.09999084472656,-1.0,-1.0,-1.0,0.12600895762443542
8,128,1000,42,512,0.3440260887145996,0.0,235.86000061035156,-1.0,-1.0,-1.0,0.12109962292015553
8,128,1000,123,512,0.3588417172431946,0.0,235.5699920654297,-1.0,-1.0,-1.0,0.1360737457871437
8,128,1000,456,512,0.3274552524089813,0.0,236.13999938964844,-1.0,-1.0,-1.0,0.19355144072324038
8,128,5000,42,512,0.32240300440788267,0.0,237.25199047851564,-1.0,-1.0,-1.0,0.16700921580195427
8,128,5000,123,512,0.3073146462440491,0.0,236.94399084472656,-1.0,-1.0,-1.0,0.1401035701856017
8,128,5000,456,512,0.32272195649147034,0.0,236.637990234375,-1.0,-1.0,-1.0,0.20692369434982538
16,8,100,42,1024,0.58693528175354,0.92578125,512.9000244140625,-1.0,-1.0,-1.0,0.2742070099338889
16,8,100,123,1024,0.5554492473602295,0.9267578125,512.5,-1.0,-1.0,-1.0,0.12817656341940165
16,8,100,456,1024,0.5801047086715698,0.9326171875,510.6000061035156,-1.0,-1.0,-1.0,0.1404555393382907
16,8,500,42,1024,0.48211196064949036,0.716796875,513.97998046875,-1.0,-1.0,-1.0,0.4330371068790555
16,8,500,123,1024,0.5006939172744751,0.7109375,516.8200073242188,-1.0,-1.0,-1.0,0.15643231570720673
16,8,500,456,1024,0.49026110768318176,0.701171875,515.4400024414062,-1.0,-1.0,-1.0,0.1278490060940385
16,8,1000,42,1024,0.4788419008255005,0.5078125,514.0599975585938,-1.0,-1.0,-1.0,0.12871154490858316
16,8,1000,123,1024,0.46858662366867065,0.515625,515.3099975585938,-1.0,-1.0,-1.0,0.128388874232769
16,8,1000,456,1024,0.48618555068969727,0.515625,517.8999633789062,-1.0,-1.0,-1.0,0.11700011417269707
16,8,5000,42,1024,0.4506969168186188,0.11328125,513.3679990234375,-1.0,-1.0,-1.0,0.1378754209727049
16,8,5000,123,1024,0.45202234387397766,0.11328125,512.4079936523437,-1.0,-1.0,-1.0,0.16031095385551453
16,8,5000,456,1024,0.4492574756145477,0.1103515625,513.3839990234375,-1.0,-1.0,-1.0,0.13876444566994905
16,16,100,42,1024,0.4911476671695709,0.853515625,508.1000061035156,-1.0,-1.0,-1.0,0.3659864468500018
16,16,100,123,1024,0.46731898188591003,0.8564453125,508.0,-1.0,-1.0,-1.0,0.13685083109885454
16,16,100,456,1024,0.48796260356903076,0.8642578125,508.0,-1.0,-1.0,-1.0,0.12828653026372194
16,16,500,42,1024,0.39419984817504883,0.5029296875,501.2799987792969,-1.0,-1.0,-1.0,0.2928186058998108
16,16,500,123,1024,0.3882797956466675,0.4912109375,504.53997802734375,-1.0,-1.0,-1.0,0.12489678710699081
16,16,500,456,1024,0.3782477378845215,0.4736328125,501.91998291015625,-1.0,-1.0,-1.0,0.18049101438373327
16,16,1000,42,1024,0.3643198609352112,0.236328125,498.6600036621094,-1.0,-1.0,-1.0,0.362470337189734
16,16,1000,123,1024,0.36346638202667236,0.240234375,499.69000244140625,-1.0,-1.0,-1.0,0.3115956764668226
16,16,1000,456,1024,0.3686496913433075,0.2451171875,500.16998291015625,-1.0,-1.0,-1.0,0.3222054736688733
16,16,5000,42,1024,0.3351556181907654,0.009765625,494.9159892578125,-1.0,-1.0,-1.0,0.34476945642381907
16,16,5000,123,1024,0.3392170338630676,0.005859375,493.9779909667969,-1.0,-1.0,-1.0,0.2451051576063037
16,16,5000,456,1024,0.3381649026870728,0.009765625,495.0079931640625,-1.0,-1.0,-1.0,0.27004099264740944
16,32,100,42,1024,0.7657759189605713,0.7255859375,502.8000183105469,-1.0,-1.0,-1.0,0.33466693479567766
16,32,100,123,1024,0.6954845190048218,0.7333984375,497.8999938964844,-1.0,-1.0,-1.0,0.15302862506359816
16,32,100,456,1024,0.6976097226142883,0.740234375,502.3000183105469,-1.0,-1.0,-1.0,0.14791646413505077
16,32,500,42,1024,0.40368416905403137,0.236328125,483.55999755859375,-1.0,-1.0,-1.0,0.31279304064810276
16,32,500,123,1024,0.3980414569377899,0.2294921875,487.1999816894531,-1.0,-1.0,-1.0,0.3320868229493499
16,32,500,456,1024,0.4060124158859253,0.216796875,483.1399841308594,-1.0,-1.0,-1.0,0.37226775102317333
16,32,1000,42,1024,0.36762407422065735,0.064453125,482.9599914550781,-1.0,-1.0,-1.0,0.3216800522059202
16,32,1000,123,1024,0.3696078360080719,0.0615234375,482.5299987792969,-1.0,-1.0,-1.0,0.2956179277971387
16,32,1000,456,1024,0.3672145903110504,0.0634765625,483.0199890136719,-1.0,-1.0,-1.0,0.31236159708350897
16,32,5000,42,1024,0.32798662209510804,0.0,480.55998803710935,-1.0,-1.0,-1.0,0.38760930579155684
16,32,5000,123,1024,0.3389283831119537,0.0,479.1299875488281,-1.0,-1.0,-1.0,0.3229667069390416
16,32,5000,456,1024,0.34221260809898374,0.0,480.77198461914065,-1.0,-1.0,-1.0,0.38829842023551464
16,64,100,42,1024,1.7334437370300293,0.5380859375,501.3999938964844,-1.0,-1.0,-1.0,0.6160597372800112
16,64,100,123,1024,1.5262480974197388,0.5283203125,485.3999938964844,-1.0,-1.0,-1.0,0.360598380677402
16,64,100,456,1024,1.6825528144836426,0.544921875,494.8999938964844,-1.0,-1.0,-1.0,0.30542039684951305
16,64,500,42,1024,0.7172452807426453,0.048828125,471.6199951171875,-1.0,-1.0,-1.0,0.5659466339275241
16,64,500,123,1024,0.7149210572242737,0.052734375,476.739990234375,-1.0,-1.0,-1.0,0.34634705539792776
16,64,500,456,1024,0.7285541892051697,0.0546875,471.0,-1.0,-1.0,-1.0,0.41355652920901775
16,64,1000,42,1024,0.6443794369697571,0.0029296875,475.04998779296875,-1.0,-1.0,-1.0,0.39523932058364153
16,64,1000,123,1024,0.6644340753555298,0.0029296875,471.6999816894531,-1.0,-1.0,-1.0,0.38385683111846447
16,64,1000,456,1024,0.6240495443344116,0.001953125,474.3399963378906,-1.0,-1.0,-1.0,0.41665513813495636
16,64,5000,42,1024,0.569647198677063,0.0,473.4699912109375,-1.0,-1.0,-1.0,0.35307600256055593
16,64,5000,123,1024,0.5791742696762084,0.0,471.9119875488281,-1.0,-1.0,-1.0,0.2250856952741742
