concept,window,window_start,window_end,prompt_id,seed,clap_steered,clap_unsteered
jazz,0.2-0.4,0.2,0.4,9,,0.1931506491151659,0.21127049413649399
jazz,0.4-0.6,0.4,0.6,0,,0.34942751773451514,0.3733274899343277
jazz,0.4-0.6,0.4,0.6,1,,0.41268261854430116,0.39511938862975565
jazz,0.4-0.6,0.4,0.6,2,,0.1475217117531106,0.14451889781901525
jazz,0.4-0.6,0.4,0.6,3,,0.4692981792250175,0.46770521530700243
jazz,0.4-0.6,0.4,0.6,4,,0.33768129011073594,0.373888935880175
jazz,0.4-0.6,0.4,0.6,5,,-0.026519920411747437,-0.015703742240017145
jazz,0.4-0.6,0.4,0.6,6,,0.39992912607384634,0.397107912754546
jazz,0.4-0.6,0.4,0.6,7,,0.4664823366246969,0.44499617370021527
jazz,0.4-0.6,0.4,0.6,8,,0.34100266002368373,0.3344121940564711
jazz,0.4-0.6,0.4,0.6,9,,0.22491585983427648,0.21127049413649399
jazz,0.6-0.8,0.6,0.8,0,,0.38250547264970725,0.3733274899343277
jazz,0.6-0.8,0.6,0.8,1,,0.4544222309446693,0.39511938862975565
jazz,0.6-0.8,0.6,0.8,2,,0.1600812603964854,0.14451889781901525
jazz,0.6-0.8,0.6,0.8,3,,0.44919281748759454,0.46770521530700243
jazz,0.6-0.8,0.6,0.8,4,,0.37954479076403086,0.373888935880175
jazz,0.6-0.8,0.6,0.8,5,,-0.02518459570555246,-0.015703742240017145
jazz,0.6-0.8,0.6,0.8,6,,0.4506706491548604,0.397107912754546
jazz,0.6-0.8,0.6,0.8,7,,0.46609290968195116,0.44499617370021527
jazz,0.6-0.8,0.6,0.8,8,,0.28590311038115784,0.3344121940564711
jazz,0.6-0.8,0.6,0.8,9,,0.17332712675617098,0.21127049413649399
jazz,0.8-1.0,0.8,1.0,0,,0.37667113165885635,0.3733274899343277
jazz,0.8-1.0,0.8,1.0,1,,0.4152023104156805,0.39511938862975565
jazz,0.8-1.0,0.8,1.0,2,,0.12889373941832533,0.14451889781901525
jazz,0.8-1.0,0.8,1.0,3,,0.4769657504545704,0.46770521530700243
jazz,0.8-1.0,0.8,1.0,4,,0.37204014882934217,0.373888935880175
jazz,0.8-1.0,0.8,1.0,5,,-0.03577813470348269,-0.015703742240017145
jazz,0.8-1.0,0.8,1.0,6,,0.43004088329868784,0.397107912754546
jazz,0.8-1.0,0.8,1.0,7,,0.4634081078918589,0.44499617370021527
jazz,0.8-1.0,0.8,1.0,8,,0.33956213489729536,0.3344121940564711
jazz,0.8-1.0,0.8,1.0,9,,0.22015228647378537,0.21127049413649399
